"","ASAP","AMAK","BAM","SS"
"1",100,100,100,100
"2",100,100,100,100
"3",100,100,100,100
"4",100,100,100,100
"5",100,100,100,100
"6",100,100,100,100
"7",100,100,100,100
"8",79,78,80,83
"9",100,100,100,100
"10",100,100,100,100
"11",100,100,100,100
"12",100,100,100,100
"13",100,100,100,100
"14",100,100,100,100
"15",100,100,100,100
"16",100,100,100,100
"17",100,100,100,100
"18",100,100,100,100
"19",100,100,100,100
"20",100,100,100,100
"21",100,100,100,100
"22",100,100,100,100
"23",100,100,100,100
"24",100,100,100,100
"25",100,100,100,100
"26",100,100,100,100
"27",100,100,100,100
"28",100,100,100,100
"29",100,100,100,100
"30",100,100,100,100
